question,answer,dataset
What is the most common room type in the listings?,Entire home/apt,006_London
What property type has the most listings?,Entire rental unit,006_London
Which host verification method is the least used?,photographer,006_London
List the top 3 neighbourhoods with the most listings.,"['Westminster', 'Tower Hamlets', 'Hackney']",006_London
Which are the top 4 most common property types?,"['Entire rental unit', 'Private room in rental unit', 'Private room in home', 'Entire condo']",006_London
List the 2 most common host verification methods.,"['phone', 'email']",006_London
Which are the 2 most preferred room types?,"['Entire home/apt', 'Private room']",006_London
What are the top 3 highest review scores for location?,"[5.0, 5.0, 5.0]",006_London
What are the 4 most common number of bedrooms in properties?,"[1.0, 2.0, 3.0, 4.0]",006_London
What are the 5 highest counts of listings by a single host for entire homes?,"[288, 288, 288, 288, 288]",006_London
List the 6 lowest review scores for communication.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",006_London
Are there players who have a greater overall score than their potential score?,False,007_Fifa
Are there any players who joined their current club before they were 18 years old?,True,007_Fifa
Are there any players whose preferred foot is left and are from a nationality that starts with 'B'?,True,007_Fifa
Are there any players who are taller than 6 feet and have an agility score above 90?,False,007_Fifa
What is the average overall score of players from France?,67.861432,007_Fifa
How many unique clubs are there in the dataset?,683,007_Fifa
What is the highest value (in €) of a player in the dataset?,105500000,007_Fifa
How many players have the position 'ST'?,414,007_Fifa
What is the most common nationality in the dataset?,England,007_Fifa
What is the most common preferred foot amongst players?,Right,007_Fifa
Which club has the most players in the dataset?,Crystal Palace,007_Fifa
What is the most common position of players in the dataset?,SUB,007_Fifa
Which are the top 5 nationalities in terms of the average overall score of their players?,"['Tanzania', 'Syria', 'Mozambique', 'Chad', 'Central African Rep.']",007_Fifa
Which are the top 3 clubs in terms of the total value (in €) of their players?,"['Liverpool', 'Manchester City', 'Real Madrid']",007_Fifa
Which are the bottom 4 nationalities in terms of the average agility of their players?,"['Macau', 'Andorra', 'Moldova', 'Liechtenstein']",007_Fifa
Which are the top 6 clubs in terms of the average potential score of their players?,"['FC Bayern München', 'Real Madrid', 'FC Barcelona', 'Paris Saint-Germain', 'Juventus', 'Manchester City']",007_Fifa
What are the top 3 overall scores in the dataset?,"[93, 92, 91]",007_Fifa
What are the bottom 5 potential scores in the dataset?,"[48, 48, 49, 50, 50]",007_Fifa
What are the top 4 values (in €) of players in the dataset?,"[105500000, 90000000, 87000000, 80000000]",007_Fifa
What are the top 2 wages (in €) of players in the dataset?,"[560000, 370000]",007_Fifa
There are no tornadoes that resulted in more than 500 injuries.,True,008_Tornados
All tornadoes in the dataset occurred in the 21st century.,False,008_Tornados
No tornado has a length greater than 100 miles.,True,008_Tornados
There are no tornadoes that resulted in more than 100 fatalities.,True,008_Tornados
How many unique states are represented in the dataset?,53,008_Tornados
What is the highest magnitude of tornado recorded in the dataset?,5,008_Tornados
What is the longest length of a tornado path in the dataset?,234.7,008_Tornados
What is the maximum number of injuries caused by a single tornado?,1740,008_Tornados
Which state has experienced the most tornadoes?,TX,008_Tornados
In which month do most tornadoes occur?,5,008_Tornados
On what date did the most destructive tornado (by injuries) occur?,1979-04-10 00:00:00,008_Tornados
On what date did the longest tornado (by path length) occur?,1953-03-22 00:00:00,008_Tornados
Which are the top 5 states with the highest average tornado magnitude?,"[AR, KY, VT, TN, MS]",008_Tornados
Which are the top 2 states with the most tornado-related injuries? If in a tie then select alphabetically. ,"[TX, AL]",008_Tornados
Which are the top 4 states with the most tornado-related fatalities? If you find a tie select alphabetically.,"[AL, TX, MS, OK]",008_Tornados
Which are the bottom 2 states in terms of the average tornado path length?,"[AK, VI]",008_Tornados
What are the top 3 number of injuries caused by tornadoes in the dataset?,"[1740, 1500, 1228]",008_Tornados
What are the top 5 magnitudes of tornadoes in the dataset?,"[5, 5, 5, 5, 5]",008_Tornados
What are the top 4 path lengths of tornadoes in the dataset?,"[234.7, 217.8, 202.5, 202.1]",008_Tornados
What are the top 6 number of fatalities caused by tornadoes in the dataset?,"[158, 116, 114, 94, 80, 72]",008_Tornados
There were no days when the precipitation was greater than 5 inches.,False,009_Central
All recorded temperatures are above freezing point.,False,009_Central
There were no days when the snow depth was more than 10 inches.,False,009_Central
There were no days when the maximum temperature was below freezing point.,False,009_Central
What is the highest recorded precipitation in inches?,8.28,009_Central
What is the lowest minimum temperature recorded?,-15.0,009_Central
What is the highest maximum temperature recorded?,106.0,009_Central
What is the deepest recorded snow depth in inches?,26.0,009_Central
On which date was the highest precipitation recorded?,1882-09-23,009_Central
On which date was the lowest minimum temperature recorded?,1934-02-09,009_Central
On which date was the highest maximum temperature recorded?,1936-07-09,009_Central
On which date was the deepest snow depth recorded?,1947-12-27,009_Central
What are the dates of the top 5 highest recorded precipitation events?,"[1882-09-23, 2007-04-15, 1977-11-08, 1903-10-09, 2021-09-01]",009_Central
What are the dates of the top 3 lowest minimum temperatures recorded?,"[1934-02-09, 1917-12-30, 1943-02-15]",009_Central
What are the dates of the top 4 highest maximum temperatures recorded?,"[1936-07-09, 1918-08-07, 1977-07-21, 2011-07-22]",009_Central
What are the dates of the top 2 deepest snow depth recorded?,"[1947-12-27, 1947-12-28]",009_Central
What are the 3 highest recorded precipitation events in inches?,"[8.28, 7.57, 7.4]",009_Central
What are the 5 lowest minimum temperatures recorded?,"[-15.0, -13.0, -8.0, -7.0, -7.0]",009_Central
What are the 4 highest maximum temperatures recorded?,"[106.0, 104.0, 104.0, 104.0]",009_Central
What are the 2 deepest snow depth recorded in inches?,"[26.0, 25.0]",009_Central
Are there more than 20 unique clothing items in the dataset?,True,010_ECommerce
Is the age of the reviewers above 50 years on average?,False,010_ECommerce
Do all reviews come from the same department?,False,010_ECommerce
Are all products recommended?,False,010_ECommerce
What is the average age of the reviewers?,43.198543813335604,010_ECommerce
What's the highest number of positive feedback received for a review?,122,010_ECommerce
What is the most common rating given by reviewers?,5,010_ECommerce
How many unique clothing items are there in the dataset?,1206,010_ECommerce
Which department has the most reviews?,Tops,010_ECommerce
Which class of clothing is most commonly reviewed?,Dresses,010_ECommerce
Which division is most commonly mentioned in the reviews?,General,010_ECommerce
What is the most frequently reviewed clothing item? If you find a tie answer with row order.,1078,010_ECommerce
Which are the 4 most reviewed categories in Department Name?,"['Tops', 'Dresses', 'Bottoms', 'Intimate']",010_ECommerce
Which are the top 2 most reviewed categories in Class Name?,"['Dresses', 'Knits']",010_ECommerce
Which are the 2 most reviewed categories in Division Name?,"['General', 'General Petite']",010_ECommerce
What are the 4 highest ratings given by reviewers?,"[5, 4, 3, 2]",010_ECommerce
What are the 5 oldest Ages of reviewers?,"[99, 99, 94, 94, 94]",010_ECommerce
What are the 4 most common Positive Feedback Counts of reviewers?,"[0, 1, 2, 3]",010_ECommerce
What are the 2 most common values for recommendation indicator?,"[1, 0]",010_ECommerce
What are the 2 most common clothing IDs in the reviews? If you find a tie answer in row order.,"[1078, 862]",010_ECommerce
Was the highest reported incident in the year 2023 filed online?,False,011_SF
Are all incidents reported on Mondays resolved?,False,011_SF
Do any incidents reported in Police District 'Central' fall in Supervisor District 5?,False,011_SF
Are there any incidents that occurred at the same latitude and longitude more than once?,True,011_SF
How many unique types of incident categories are there in the dataset?,49,011_SF
What's the total number of incidents reported online?,144099,011_SF
How many different police districts are there in the dataset?,11,011_SF
What is the average incident count per year?,118851.16666666667,011_SF
What is the most common incident category?,Larceny Theft,011_SF
Which day of the week has the highest number of incidents?,Friday,011_SF
What is the most common resolution for incidents reported online?,Open or Active,011_SF
What is the Police District with the most incidents?,Central,011_SF
What are the three most common incident descriptions?,"['Theft, From Locked Vehicle, >$950', 'Malicious Mischief, Vandalism to Property', 'Battery']",011_SF
Name the 4 most frequently occurring police districts.,"[Central, Northern, Mission, Southern]",011_SF
List the three most common incident categories on Fridays.,"[Larceny Theft, Malicious Mischief, Other Miscellaneous]",011_SF
Give the 6 most common resolutions for incidents.,"[Open or Active, Cite or Arrest Adult, Unfounded, Exceptional Adult]",011_SF
List the years with the top 4 highest incident counts.,"[2018, 2019, 2022, 2021]",011_SF
Which 3 incident years have the lowest number of online filed reports? If two have the same number choose the latest year,"[2023, 2020, 2021]",011_SF
What are the 2 years with the highest incident counts.,"[2018, 2019]",011_SF
Name the 6 years with the most number of unique incident categories.,"[2018, 2019, 2020, 2021, 2022, 2023]",011_SF
Do all patients experience exercise-induced angina?,False,012_Heart
Does any patient have a resting blood pressure above 200?,False,012_Heart
Are there patients without heart disease?,True,012_Heart
Does everyone have normal resting electrocardiographic results?,False,012_Heart
What is the maximum age of patients in the dataset?,77,012_Heart
What is the minimum resting blood pressure among the patients?,0,012_Heart
What is the average cholesterol level in the dataset?,198.7995642701525,012_Heart
What is the standard deviation of maximum heart rate among the patients?,25.4603341382503,012_Heart
What is the most common chest pain type among patients?,ASY,012_Heart
What is the least common resting electrocardiographic result?,ST,012_Heart
What is the most common ST slope among patients with heart disease?,Flat,012_Heart
What is the least common chest pain type among male patients?,TA,012_Heart
What are the top 3 most common chest pain types?,"['ASY', 'NAP', 'ATA']",012_Heart
Which 4 resting electrocardiographic results are least common?,"['ST', 'LVH', 'Normal']",012_Heart
What are the 2 most common ST slopes among patients with heart disease?,"['Flat', 'Up']",012_Heart
What are the 4 most common chest pain types among male patients?,"['TA', 'ATA', 'NAP', 'ASY']",012_Heart
What are the ages of the 5 oldest patients in the dataset?,"[77, 77, 76, 76, 75]",012_Heart
What are the 4 highest resting blood pressures?,"[200, 200, 200, 200]",012_Heart
What are the 6 lowest cholesterol levels in the dataset?,"[0, 0, 0, 0, 0, 0]",012_Heart
What are the 3 highest maximum heart rates among the patients?,"[202, 195, 194]",012_Heart
Did the oldest roller coaster in the dataset still operate?,True,013_Roller
Is there a roller coaster in the dataset that operates at a speed more than 100 mph?,True,013_Roller
Are all roller coasters in the dataset designed by 'Werner Stengel' removed?,False,013_Roller
Does every roller coaster have a G-force value?,False,013_Roller
What is the maximum speed (in mph) for roller coasters in the dataset?,149.1,013_Roller
How many roller coasters were introduced in the year 2000?,47,013_Roller
What is the average G-force across all roller coasters in the dataset?,3.8240055248618785,013_Roller
What is the total number of roller coasters designed by 'Edwin Madeupname' in the dataset?,0,013_Roller
Which manufacturer has built the fastest roller coaster?,Intamin,013_Roller
What is the status of the roller coaster with the highest G-force?,Removed,013_Roller
What type of the roller coaster is the oldest in the dataset?,Wood,013_Roller
What is the location of the roller coaster with the highest number of inversions?,Alton Towers,013_Roller
What are the names of the top 3 fastest roller coasters?,"[Formula Rossa, Kingda Ka, Top Thrill Dragster]",013_Roller
Which 2 roller coasters have the highest number of inversions?,"[The Smiler, Colossus (Thorpe Park)]",013_Roller
What are the locations of the top 5 roller coasters with the highest G-force?,"[Sea Lion Park, Fuji-Q Highland, Six Flags Over Texas, Nürburgring, Morey's Piers]",013_Roller
Name the 4 oldest roller coasters in the dataset.,"[Switchback Railway, Flip Flap Railway, Loop the Loop (Coney Island), Loop the Loop (Young's Pier)]",013_Roller
What are the top 3 speeds (in mph) of roller coasters in the dataset?,"[149.1, 128.0, 120.0]",013_Roller
List the G-force values of the 2 roller coasters with the highest G-force.,"[12.0, 6.5]",013_Roller
What are the heights (in ft) of the top 4 tallest roller coasters?,"[377.3, 367.5, 318.2, 306.1]",013_Roller
Name the introduction years of the 6 oldest roller coasters in the dataset.,"[1884, 1895, 1901, 1901, 1902, 1902]",013_Roller
Is there a rental property with exactly 5 bedrooms?,True,014_Airbnb
Is there a rental property listed by a superhost that is instantly bookable?,True,014_Airbnb
Are there any rental properties that can accommodate more than 10 guests?,True,014_Airbnb
Is there a rental property that has received a perfect review score?,False,014_Airbnb
How many rental properties are there in the dataset?,20776,014_Airbnb
What is the maximum number of bedrooms in a property?,18.0,014_Airbnb
What is the highest price per night for a rental property?,95150.0,014_Airbnb
What is the maximum number of reviews a property has received?,870,014_Airbnb
What is the host response time for the property with the highest number of bedrooms?,within an hour,014_Airbnb
What type of room is the most expensive property?,Entire home/apt,014_Airbnb
What is the property type of the listing with the most reviews?,Entire rental unit,014_Airbnb
What is the acceptance rate of the host of the property that can accommodate the most number of guests?,100%,014_Airbnb
Which are the 2 lowest values of host response rates above 0% ?,"['5%', '10%']",014_Airbnb
Which are the 2 lowest values of host response rates?,"['0%', '0%']",014_Airbnb
What are the 4 highest values of host acceptance rates?,"['99%', '99%', '99%', '99%']",014_Airbnb
What are the 2 least common scraping sources?,"['previous scrape', 'city scrape']",014_Airbnb
What are the 3 prices of the most expensive properties?,"[95150.0, 90130.0, 64430.0]",014_Airbnb
What are the 2 prices of the least expensive properties?,"[0.0, 0.0]",014_Airbnb
What are the 2 numbers of reviews received by the 2 most reviewed properties?,"[870, 822]",014_Airbnb
What are the 5 numbers of guests accommodated by the properties that can accommodate the most guests?,"[16, 16, 16, 16, 16]",014_Airbnb
Is there a food item with 'Fruits' as its group?,True,015_Food
Are there food items with 'Nuts' as their sub group?,True,015_Food
Is there a food item with scientific name 'Tilia argentea'?,True,015_Food
Is 'Angelica' listed as a food name in the dataset?,True,015_Food
How many food items are there in the dataset?,906,015_Food
How many unique food groups are there in the dataset?,24,015_Food
How many unique sub groups are there in the dataset?,123,015_Food
How many unique food items are there in the dataset?,906,015_Food
What is the group of the food named 'Kiwi'?,Fruits,015_Food
What is the sub group of the food with scientific name 'Tilia argentea'?,Herbs,015_Food
What is the scientific name of the food named 'Colorado pinyon'?,Pinus edulis,015_Food
What is the food name of the item with scientific name 'Tilia argentea'?,Silver linden,015_Food
What are the top 3 most common food groups?,"['Aquatic foods', 'Vegetables', 'Fruits']",015_Food
What are the top 2 most common groups? If there are two that have the same number of appearances give preference alphabetically.,"['Aquatic foods', 'Fruits']",015_Food
What are the 5 least common food groups?,"['Teas', 'Eggs', 'Baby foods', 'Unclassified', 'Herbs and spices']",015_Food
What are the 5 most common sub groups?,"['Fishes', 'Herbs', 'Berries', 'Tropical fruits', 'Nuts']",015_Food
What are the lengths of the top 5 most common sub group names?,"[6, 5, 7, 15, 4]",015_Food
What are the number of appearances of the 2 least common groups?,"[1, 1]",015_Food
What are the number of appearances of the 3 most common groups?,"[166, 130, 130]",015_Food
What are the three most common group name lengths?,"[6.0, 13.0, 10.0]",015_Food
Is there a customer with 'Large Business' as their occupation?,True,016_Holiday
Are there customers with 'King' as their pitched product?,True,016_Holiday
Is there a customer with designation 'VP'?,True,016_Holiday
Is 'Unmarried' listed as a marital status in the dataset?,True,016_Holiday
How many customers are there in the dataset?,4888,016_Holiday
How many unique occupations are there in the dataset?,4,016_Holiday
How many unique designations are there in the dataset?,5,016_Holiday
How many unique marital statuses are there in the dataset?,4,016_Holiday
What is the occupation of the customer with ID 200000?,Salaried,016_Holiday
What is the product pitched to the customer with ID 200001?,Deluxe,016_Holiday
What is the designation of the customer with ID 200002?,Executive,016_Holiday
What is the marital status of the customer with ID 200003?,Divorced,016_Holiday
What are the 3 most common occupations?,"['Salaried', 'Small Business', 'Large Business']",016_Holiday
What are the top 2 most common pitched products?,"['Basic', 'Deluxe']",016_Holiday
What are the 4 least common occupations?,"['Salaried', 'Small Business', 'Large Business', 'Free Lancer']",016_Holiday
What are the 2 least common pitched products?,"['Super Deluxe', 'King']",016_Holiday
What are the ages of the 3 oldest customers?,"[61, 61, 61]",016_Holiday
What are the ages of the 4 youngest customers?,"[18.0, 18.0, 18.0, 18.0]",016_Holiday
What are the top 2 highest monthly incomes of the customers?,"[98678, 95000]",016_Holiday
What are the 4 most common duration of pitch?,"[9.0, 7.0, 8.0, 6.0]",016_Holiday
Is there any entry posted on a weekend?,True,017_Hacker
Are there titles with more than 100 characters?,False,017_Hacker
Do any entries have a negative sentiment according to the Cardiff NLP model?,False,017_Hacker
"Is the term 'linux' mentioned in the ""Clusters II"" column?",True,017_Hacker
How many entries were posted in the morning?,1516,017_Hacker
What's the highest score received by an entry?,6015,017_Hacker
"On average, how many descendants does an entry have?",339.2486205432937,017_Hacker
How many entries are in the Autumn season?,2301,017_Hacker
Which day of the week has the most entries?,Tuesday,017_Hacker
What is the predominant language used in titles?,en,017_Hacker
In which season was the entry with the highest score posted?,Spring,017_Hacker
On which part of the day are most entries posted?,afternoon,017_Hacker
"List the top 4 most frequent terms in the ""Clusters II"" column.","['year, work, new', 'google, web, firefox, open', 'apple, linux, rust, iphone', 'facebook, twitter, die, account']",017_Hacker
Name the 2 month names which appear less in the dataset.,"['December', 'July']",017_Hacker
Identify the top 3 weekdays based on entry frequency.,"['Tuesday', 'Wednesday', 'Thursday']",017_Hacker
Provide the bottom 4 seasons in terms of entry count.,"['Spring', 'Winter', 'Autumn', 'Summer']",017_Hacker
List the top 3 scores in the dataset.,"[6015, 5771, 4338]",017_Hacker
Name the bottom 5 title text lengths.,"[1.0, 2.0, 2.0, 2.0, 2.0]",017_Hacker
Identify the top 4 numbers of descendants.,"[4576.0, 3678.0, 3676.0, 3463.0]",017_Hacker
Provide the bottom 6 scores in the dataset.,"[501, 501, 501, 501, 501, 501]",017_Hacker
Are there any employees with more than 7 projects?,False,018_Staff
Has any employee worked for more than 300 hours on average per month?,True,018_Staff
Are all satisfaction levels above 0.5?,False,018_Staff
Were there any employees hired in 2019?,True,018_Staff
How many unique departments are there?,10,018_Staff
What's the maximum number of years an employee has been in the company?,10,018_Staff
How many employees have been promoted in the last 5 years?,319,018_Staff
"On average, how many hours do employees work monthly?",201.05,018_Staff
Which department has the highest number of employees?,sales,018_Staff
What's the most common salary level among employees?,low,018_Staff
Which year had the highest number of employees hired?,2017,018_Staff
Which salary level has the least number of employees who had an accident at work?,high,018_Staff
Name the top 4 departments with the most employees.,"['sales', 'technical', 'support', 'IT']",018_Staff
List the 3 departments with the most number of promotions in the last 5 years that have at least one promotion. ,"['hr', 'accounting', 'IT']",018_Staff
Identify the 3 departments with the lowest average satisfaction levels.,"['accounting', 'hr', 'technical']",018_Staff
What are the 2 departments with the lowest average monthly hours worked?,"['hr', 'marketing']",018_Staff
Identify the top 3 years with the highest employee hiring.,"['2017', '2018', '2016']",018_Staff
Which are the highest 3 satisfaction levels among employees who left?,"[0.92, 0.92, 0.92]",018_Staff
List the bottom 5 average monthly hours among employees who were promoted in the last 5 years.,"[215, 133, 159, 241, 247]",018_Staff
Whhat are the top 6 last evaluation scores?,"[1, 1, 1, 1, 1, 1]",018_Staff
Did any incident result in the total destruction of the aircraft?,True,019_Aircraft
Have there been any incidents where the cause was related to the undercarriage of the aircraft?,True,019_Aircraft
Has there been any instance where the ground casualties were non-zero?,True,019_Aircraft
Are there incidents where the aircraft was involved in a collision?,True,019_Aircraft
How many unique aircraft models are in the dataset?,3523,019_Aircraft
What's the highest number of occupants recorded in an incident?,524.0,019_Aircraft
How many incidents occurred in January 2022?,7,019_Aircraft
How many incidents resulted in non-zero fatalities?,0,019_Aircraft
Which aircraft model was involved in the most incidents?,Junkers Ju-52/3m,019_Aircraft
What was the cause of the incident that resulted in the most fatalities?,"Airplane - Pressurization, Airplane - Pressurization - Bulkhead failure, Airplane - Pressurization - Explosive decompression, Maintenance - (repair of) previous damage, Result - Loss of control",019_Aircraft
What is the most common phase of aircraft during incidents?,En route (ENR),019_Aircraft
What is the location of the incident with the highest number of onboard occupants?,near Ueno Village...,019_Aircraft
What are the top 3 most common causes of incidents?,"['Info-Unavailable', 'Result - Runway excursion', 'Result - Damaged on the ground']",019_Aircraft
List the top 5 locations where the most incidents have occurred. If there are two or more with the same number order them alphabetically,"['Arnhem', 'Beirut International Airport (BEY)', 'Glasgow-Preswick Airport', 'Havana-José Martí International Airport (HAV)', 'Miami International Airport, FL (MIA)']",019_Aircraft
Name the 2 most frequently occurring aircraft operators in the dataset.,"['USAAF', 'USAF']",019_Aircraft
What are the top 2 most common types of aircraft damage?,"['Damaged beyond repair', 'Substantial']",019_Aircraft
What are the 5 highest numbers of onboard passengers in incidents?,"[509.0, 503.0, 497.0, 451.0, 440.0]",019_Aircraft
List the 3 highest numbers of onboard crew in incidents.,"[32.0, 31.0, 29.0]",019_Aircraft
Identify the 4 highest numbers of total onboard occupants in incidents.,"[524.0, 521.0, 517.0, 469.0]",019_Aircraft
